538	1
365	1
285	1
281	1
278	1
248	1
245	2
244	1
237	1
236	1
233	1
226	1
217	1
212	1
210	1
209	1
208	3
207	2
206	1
205	1
204	1
203	1
199	2
198	1
197	2
192	2
189	4
185	2
183	1
182	1
181	1
179	2
177	1
176	1
175	3
173	2
172	1
171	2
169	3
168	1
167	3
165	4
164	3
163	1
162	4
161	2
160	3
159	1
158	1
157	3
156	3
155	4
154	1
153	3
152	5
151	3
150	2
149	1
148	2
147	3
146	7
145	1
144	4
143	2
142	3
141	3
140	1
139	5
138	5
137	5
136	6
135	4
134	6
133	6
132	6
131	4
130	6
129	7
128	8
127	7
126	7
125	6
124	2
123	7
122	17
121	4
120	10
119	5
118	10
117	10
116	10
115	7
114	6
113	10
112	18
111	7
110	12
109	14
108	17
107	13
106	22
105	11
104	14
103	20
102	13
101	20
100	22
99	24
98	21
97	13
96	11
95	22
94	28
93	30
92	26
91	33
90	22
89	20
88	33
87	44
86	32
85	26
84	29
83	31
82	24
81	53
80	39
79	45
78	38
77	64
76	51
75	39
74	49
73	47
72	58
71	51
70	54
69	67
68	65
67	68
66	80
65	84
64	66
63	71
62	74
61	73
60	91
59	106
58	80
57	104
56	96
55	100
54	122
53	114
52	122
51	108
50	134
49	113
48	130
47	135
46	152
45	136
44	138
43	130
42	154
41	134
40	153
39	151
38	156
37	145
36	146
35	157
34	140
33	175
32	171
31	179
30	149
29	140
28	154
27	119
26	148
25	164
24	133
23	152
22	147
21	130
20	130
19	115
18	112
17	98
16	125
15	93
14	74
13	81
12	69
11	53
